File,uuid,serie,Geo Coordinate,Image Coordinate,width,height
15 Lekkerkerk 1836,5f0eac7e-552a-4f1e-9c18-c0175ac2a067,"('EERSTE DRUK', '2')","[[ 4.6509689 51.876453 ]
 [ 4.7681288 51.8771289]
 [ 4.767506  51.9223522]
 [ 4.6502282 51.9216755]
 [ 4.6509689 51.876453 ]]","[[[ 158. 4319.]]

 [[6595. 4344.]]

 [[6612.  161.]]

 [[ 175.  135.]]]",6760,4476
16 Krimpen aan de Lek 1833,ad0649c4-dbaf-4eac-ac81-3375476d26ac,"('EERSTE DRUK', '2')","[[ 4.5348462 51.8760471]
 [ 4.651859  51.8768379]
 [ 4.6511154 51.9222897]
 [ 4.5339843 51.9214978]
 [ 4.5348462 51.8760471]]","[[[ 479. 4625.]]

 [[6872. 4633.]]

 [[6878.  478.]]

 [[ 485.  469.]]]",7320,5076
17 Rotterdam 1834,edf31ee7-8b21-4a36-9fae-b1bfdf334d10,"('EERSTE DRUK', '2')","[[ 4.4186017 51.8846567]
 [ 4.5352694 51.8855607]
 [ 4.5344086 51.9309657]
 [ 4.417623  51.9300605]
 [ 4.4186017 51.8846567]]","[[[ 161. 4580.]]

 [[6371. 4536.]]

 [[6341.  369.]]

 [[ 131.  413.]]]",6648,4944
S1 Aardt 1834,ea6dc48f-5e19-46bf-9814-d28ad6bf169b,"('EERSTE DRUK', '2')","[[ 6.0453447 51.8777564]
 [ 6.1621259 51.8770437]
 [ 6.1628874 51.9211945]
 [ 6.0459915 51.921908 ]
 [ 6.0453447 51.8777564]]","[[[ 481. 4590.]]

 [[6828. 4623.]]

 [[6850.  483.]]

 [[ 502.  450.]]]",7304,5076
01 Westervoort 1844,279e8983-9ca2-4977-a305-e0e1e49de6d2,"('EERSTE DRUK', '3')","[[ 5.9260021 51.9334853]
 [ 6.0425087 51.9328933]
 [ 6.043184  51.9791143]
 [ 5.9265574 51.9797071]
 [ 5.9260021 51.9334853]]","[[[ 463. 4543.]]

 [[6888. 4600.]]

 [[6925.  454.]]

 [[ 500.  397.]]]",7384,5076
02 Rhede 1840 1843,e668dd16-7efa-4ebc-b2da-261639a1707c,"('EERSTE DRUK', '3')","[[ 5.9754775 51.9784434]
 [ 6.0917774 51.9778041]
 [ 6.0924954 52.0234488]
 [ 5.976077  52.0240889]
 [ 5.9754775 51.9784434]]","[[[ 451. 4631.]]

 [[6854. 4660.]]

 [[6873.  504.]]

 [[ 470.  475.]]]",7336,5124
03 Doesburg 1840 1843,b38da43b-44e4-4270-9053-6c0f63083ffd,"('EERSTE DRUK', '3')","[[ 6.0905741 51.9784132]
 [ 6.2087425 51.977647 ]
 [ 6.2095726 52.022911 ]
 [ 6.0912848 52.0236781]
 [ 6.0905741 51.9784132]]","[[[ 487. 4626.]]

 [[6876. 4626.]]

 [[6876.  432.]]

 [[ 487.  432.]]]",7352,5100
04 Steenderen 1840 1843,dd02a569-9cce-416c-a01f-49d867f0b78a,"('EERSTE DRUK', '3')","[[ 6.092521  52.0227236]
 [ 6.2103224 52.0219586]
 [ 6.2111701 52.0680356]
 [ 6.0932475 52.0688016]
 [ 6.092521  52.0227236]]","[[[ 140. 4277.]]

 [[6564. 4344.]]

 [[6607.  220.]]

 [[ 183.  153.]]]",6640,4476
04a Supplement tot het blad Steenderen 1840 1843,5160079b-0ca7-46c9-be23-83ae43a4c0bb,"('EERSTE DRUK', '3')","[[ 6.0637299 52.023045 ]
 [ 6.0931986 52.0228719]
 [ 6.0935004 52.0420095]
 [ 6.0640191 52.0421827]
 [ 6.0637299 52.023045 ]]","[[[ 809. 2292.]]

 [[2608. 2307.]]

 [[2624.  424.]]

 [[ 824.  410.]]]",3444,2728
05 Brummen 1841 1843,6322fab9-4c2d-43b9-9b80-592ea8207fbc,"('EERSTE DRUK', '3')","[[ 6.1306111 52.0678015]
 [ 6.2480736 52.0670015]
 [ 6.2489515 52.1125655]
 [ 6.1313693 52.1133666]
 [ 6.1306111 52.0678015]]","[[[ 213. 4345.]]

 [[6644. 4363.]]

 [[6656.  195.]]

 [[ 225.  177.]]]",6816,4524
06 Zutphen 1841 1843,ffa84198-3e33-4665-84ad-7c8e97893586,"('EERSTE DRUK', '3')","[[ 6.1614722 52.1128955]
 [ 6.2484399 52.112292 ]
 [ 6.2496508 52.1749961]
 [ 6.1625608 52.1756007]
 [ 6.1614722 52.1128955]]","[[[ 268. 6100.]]

 [[5216. 6111.]]

 [[5227.  485.]]

 [[ 280.  474.]]]",5496,6592
07 Gorssel 1841 1843,2282f34c-f001-40d0-8cfa-53ad8d92c81b,"('EERSTE DRUK', '3')","[[ 6.133414  52.1760169]
 [ 6.2217204 52.1754253]
 [ 6.2228975 52.2382183]
 [ 6.1344666 52.238811 ]
 [ 6.133414  52.1760169]]","[[[ 155. 6299.]]

 [[5110. 6302.]]

 [[5113.  658.]]

 [[ 159.  654.]]]",5256,6984
07a Supplement tot het blad Gorssel 1841 1843,95b8bce5-bba9-4272-94e1-167c9ff9c3e5,"('EERSTE DRUK', '3')","[[ 6.0742719 52.1756141]
 [ 6.1336294 52.1752534]
 [ 6.1339362 52.1935735]
 [ 6.0745544 52.1939344]
 [ 6.0742719 52.1756141]]","[[[ 359. 2095.]]

 [[3691. 2106.]]

 [[3697.  318.]]

 [[ 364.  308.]]]",4092,2624
08 Deventer 1841 1843,9b9739da-6385-48ea-ac08-2a3dbe9a2297,"('EERSTE DRUK', '3')","[[ 6.0917904 52.238416 ]
 [ 6.2184288 52.2375925]
 [ 6.2192926 52.2837932]
 [ 6.0925227 52.2846179]
 [ 6.0917904 52.238416 ]]","[[[ 451. 4581.]]

 [[7383. 4633.]]

 [[7415.  472.]]

 [[ 482.  420.]]]",7728,5112
09 Olst 1842 1843,cd74ba2f-4bbe-45f7-ada5-2a3da6469ce8,"('EERSTE DRUK', '3')","[[ 6.0634636 52.2842786]
 [ 6.1374056 52.2838323]
 [ 6.1386219 52.3557584]
 [ 6.06456   52.3562056]
 [ 6.0634636 52.2842786]]","[[[ 483. 6805.]]

 [[4644. 6838.]]

 [[4693.  440.]]

 [[ 532.  408.]]]",5208,7344
10 Wijhe 1842 1843,1a3e7d9d-a4be-49a8-a979-60690db712c6,"('EERSTE DRUK', '3')","[[ 6.0656763 52.3562413]
 [ 6.1532245 52.3557068]
 [ 6.154319  52.4189783]
 [ 6.0666458 52.4195137]
 [ 6.0656763 52.3562413]]","[[[ 210. 6114.]]

 [[5172. 6137.]]

 [[5198.  485.]]

 [[ 236.  462.]]]",5472,6616
